categoria,softwareId,id,nombre,telefono,web,primaryType,types,ciudad,direccion,rating,userRatingCount,googleMapsUri,createdAt
escuela-formacion,atleevo,cmpczg1zz00dpq1se14es7z97,Aerobics Center - Instituto de Formación,0351 427-1045,http://www.aerobicscenter.edu.ar/,university,university;educational_institution;point_of_interest;establishment,Córdoba,"Entre Ríos 234, X5022ADF Córdoba, Argentina",4.8,71,https://maps.google.com/?cid=8307351904505179842&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-05-19T18:44:58.271Z
escuela-formacion,atleevo,cmpcz2643000eq1se5pafkc29,ANEFF Academia Nacional de Entrenadores de Fútbol,662 10 95 96,http://www.anefescuela.es/,educational_institution,educational_institution;point_of_interest;establishment,Madrid,"C. Alhaquén, 10, Local 1, 28903 Getafe, Madrid",4.8,181,https://maps.google.com/?cid=7300921071058714894&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-05-19T18:34:10.419Z
escuela-formacion,atleevo,cmpczg2de00dqq1seo50yfpi7,EGDF ESCUELA DE GESTIÓN DEPORTE Y FITNESS,0351 15-646-3609,http://www.egdf.com.ar/,educational_institution,educational_institution;point_of_interest;establishment,Córdoba,"Cirilo Correa 226, X5003 Córdoba, Argentina",,,https://maps.google.com/?cid=15641673555594528411&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-05-19T18:44:58.755Z
escuela-formacion,atleevo,cmpcz7oex006pq1se7ojwwee8,Equipo profesional y escuela de formación Rubén Ruano.,637 31 61 02,http://rubenruano.com/,health,consultant;health;point_of_interest;service;establishment,Murcia,"C. Isla Cristina, 7, 30006 Puente Tocinos, Murcia",4.6,9,https://maps.google.com/?cid=13332228980875857921&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-05-19T18:38:27.418Z
escuela-formacion,atleevogym,cmpczigtk00isq1se55dzc9is,Escuela Asturiana de Musculación,659 86 41 18,,gym,gym;sports_complex;sports_school;sports_activity_location;health,Gijón,"C. Manuel Rodríguez Álvarez, 34, Gijon-Oeste, 33213 Gijón, Asturias",4.9,54,https://maps.google.com/?cid=5506338732512361801&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-05-19T18:46:50.792Z
escuela-formacion,atleevo,cmpcz4j78003pq1sek62esl1w,ESCUELAS CENETED,651 63 45 01,https://www.tecnicodeportivo.net/,educational_institution,educational_institution;point_of_interest;establishment,Zaragoza,"Centro de Negocios CEPAR, C. de Vicente Berdusán, Bloque D1, Bajos, Delicias, 50010 Zaragoza",4.9,37,https://maps.google.com/?cid=14563922178418152958&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-05-19T18:36:00.692Z
escuela-formacion,atleevo,cmpczlbst00p8q1se9fpb9jh8,Futcoach10 Formación,685 45 45 69,https://www.futcoach10.es/,educational_institution,educational_institution;point_of_interest;establishment,Elche,"Carrer Emilio Sala Hernandez, n3, 03205 Elx, Alicante",5,26,https://maps.google.com/?cid=14718349081085203006&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-05-19T18:49:04.253Z
escuela-formacion,atleevo,cmpczg1gn00dnq1sefz45bl7a,IPEF Córdoba,,http://www.ipef.com/cordoba,educational_institution,educational_institution;point_of_interest;establishment,Córdoba,"Paraná 479, X5000HXI Córdoba, Argentina",3.4,28,https://maps.google.com/?cid=17253024598664133635&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-05-19T18:44:57.576Z
escuela-formacion,atleevo,cmpczmtvl00rlq1seou1i6qox,OPOEFI Preparadores,623 40 57 91,https://opoefi.es/,educational_institution,point_of_interest;educational_institution;establishment,Santa Cruz de Tenerife,"Av. Reyes Católicos, 29, 38005 Santa Cruz de Tenerife",5,32,https://maps.google.com/?cid=8124339133938744778&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-05-19T18:50:14.338Z
escuela-formacion,atleevo,cmpczg1qv00doq1sej93108dt,Quality I.S.A.D. – Instituto Superior en Actividades Deportivas,0351 461-9000,http://www.qualityisad.com.ar/,educational_institution,educational_institution;gym;sports_activity_location;health;point_of_interest,Córdoba,"Cruz Roja Argentina 200, X5900HHD Córdoba, Argentina",4.4,618,https://maps.google.com/?cid=9871739355140398719&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-05-19T18:44:57.943Z
